level	query	name
1	Rennes	Rennes
2	Acigné	Acigné
2	Bécherel	Bécherel
2	Betton	Betton
2	Bourgbarré	Bourgbarré
2	Brécé	Brécé
2	Bruz	Bruz
2	Cesson-Sévigné	Cesson-Sévigné
2	Chantepie	Chantepie
2	La Chapelle-Chaussée	La Chapelle-Chaussée
2	La Chapelle-des-Fougeretz	La Chapelle-des-Fougeretz
2	La Chapelle-Thouarault	La Chapelle-Thouarault
2	Chartres-de-Bretagne	Chartres-de-Bretagne
2	Chavagne	Chavagne
2	Chevaigné	Chevaigné
2	Cintré	Cintré
2	Clayes	Clayes
2	Corps-Nuds	Corps-Nuds
2	Gévezé	Gévezé
2	L'Hermitage	L'Hermitage
2	Laillé	Laillé
2	Langan	Langan
2	Miniac-sous-Bécherel	Miniac-sous-Bécherel
2	Montgermont	Montgermont
2	Mordelles	Mordelles
2	Nouvoitou	Nouvoitou
2	Noyal-Châtillon-sur-Seiche	Noyal-Châtillon-sur-Seiche
2	Orgères, Ille-et-Vilaine	Orgères
2	Pacé, Ille-et-Vilaine	Pacé
2	Parthenay-de-Bretagne	Parthenay-de-Bretagne
2	Pont-Péan	Pont-Péan
2	Le Rheu	Le Rheu
2	Romillé	Romillé
2	Saint-Armel	Saint-Armel
2	Saint-Erblon	Saint-Erblon
2	Saint-Gilles, Ille-et-Vilaine	Saint-Gilles
2	Saint-Grégoire	Saint-Grégoire
2	Saint-Jacques-de-la-Lande	Saint-Jacques-de-la-Lande
2	Saint-Sulpice-la-Forêt	Saint-Sulpice-la-Forêt
2	Thorigné-Fouillard	Thorigné-Fouillard
2	Le Verger	Le Verger
2	Vern-sur-Seiche	Vern-sur-Seiche
2	Vezin-le-Coquet	Vezin-le-Coquet
3	Le Liberté, Rennes	Le Liberté
3	Campus Beaulieu, Rennes	Campus Beaulieu
3	Campus Villejean, Rennes	Campus Villejean
3	La Poterie, Rennes	La Poterie
3	Henri Fréville, Rennes	Henri Fréville
3	Bréquigny, Rennes	Bréquigny
3	Cleunay, Rennes	Cleunay
3	Gare de Rennes	Gare
3	Parc du Thabor, Rennes	Thabor
3	Cimetière de l'Est, Rennes	Cimetière de l'Est
3	Gayeulles, Rennes	Les Gayeulles
3	La Courrouze, Rennes	La Courrouze
3	Champs Blancs, Rennes	Champs Blancs
3	Les Longs-Champs, Rennes	Longs-Champs
3	Maurepas, Rennes	Maurepas
3	Beauregard, Rennes	Beauregard
3	Zone Industrielle Sud-Est, Rennes	ZI Sud-Est
3	Zone Industrielle Haie des Cognets	ZI Haie des Cognets
3	Zone d'Activités Ouest, Rennes	ZA Ouest
3	Zone d'Activités Nord, Rennes	ZA Nord
3	Zone d'Activités du Chêne Vert	ZA du Chêne Vert
3	Prairies Saint-Martin, Rennes	Prairies Saint-Martin
